Total battles: 1289120
Avg. weight/team: 0.005
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| 1    | Great Tusk         | 30.58714% | 748756 | 29.041% | 592420 | 28.937% |
| 2    | Kingambit          | 29.91622% | 497455 | 19.294% | 337329 | 16.477% |
| 3    | Zamazenta          | 25.72641% | 284364 | 11.029% | 209859 | 10.251% |
| 4    | Dragonite          | 23.62884% | 403899 | 15.666% | 298864 | 14.598% |
| 5    | Gholdengo          | 22.03386% | 486394 | 18.865% | 375328 | 18.333% |
| 6    | Kyurem             | 18.94248% | 218021 |  8.456% | 173988 |  8.499% |
| 7    | Ogerpon-Wellspring | 18.18071% | 324399 | 12.582% | 257665 | 12.586% |
| 8    | Ting-Lu            | 17.93221% | 189920 |  7.366% | 166054 |  8.111% |
| 9    | Iron Valiant       | 16.71497% | 356429 | 13.825% | 257083 | 12.558% |
| 10   | Pecharunt          | 16.62380% | 208520 |  8.088% | 169636 |  8.286% |
| 11   | Raging Bolt        | 16.16383% | 311532 | 12.083% | 235518 | 11.504% |
| 12   | Gliscor            | 16.12063% | 315543 | 12.239% | 264962 | 12.942% |
| 13   | Corviknight        | 14.02810% | 323675 | 12.554% | 264500 | 12.920% |
| 14   | Dragapult          | 13.72821% | 382254 | 14.826% | 297269 | 14.520% |
| 15   | Slowking-Galar     | 13.48575% | 286372 | 11.107% | 239726 | 11.710% |
| 16   | Iron Treads        | 11.95083% | 210938 |  8.181% | 175756 |  8.585% |
| 17   | Iron Moth          | 11.86349% | 187467 |  7.271% | 142433 |  6.957% |
| 18   | Landorus-Therian   | 11.80368% | 220508 |  8.553% | 194230 |  9.487% |
| 19   | Hatterene          | 11.50631% | 272388 | 10.565% | 216874 | 10.593% |
| 20   | Deoxys-Speed       | 10.94851% | 146242 |  5.672% | 125041 |  6.108% |
| 21   | Cinderace          | 10.22811% | 250823 |  9.728% | 200528 |  9.795% |
| 22   | Samurott-Hisui     |  9.94706% | 235254 |  9.125% | 208999 | 10.209% |
| 23   | Darkrai            |  9.92720% | 194486 |  7.543% | 150685 |  7.360% |
| 24   | Glimmora           |  8.64498% | 232358 |  9.012% | 204922 | 10.010% |
| 25   | Blissey            |  7.97553% | 78300  |  3.037% | 61744  |  3.016% |
| 26   | Dondozo            |  7.97545% | 103121 |  4.000% | 75025  |  3.665% |
| 27   | Alomomola          |  7.81097% | 216988 |  8.416% | 179777 |  8.781% |
| 28   | Ceruledge          |  6.94676% | 232449 |  9.016% | 175477 |  8.571% |
| 29   | Clefable           |  6.71116% | 136382 |  5.290% | 108400 |  5.295% |
| 30   | Moltres            |  6.42118% | 103487 |  4.014% | 87302  |  4.264% |
| 31   | Walking Wake       |  6.12069% | 178506 |  6.924% | 145379 |  7.101% |
| 32   | Zapdos             |  5.86023% | 172015 |  6.672% | 144775 |  7.072% |
| 33   | Clodsire           |  5.78048% | 87330  |  3.387% | 69828  |  3.411% |
| 34   | Enamorus           |  5.51001% | 108773 |  4.219% | 84000  |  4.103% |
| 35   | Weezing-Galar      |  5.49731% | 101979 |  3.955% | 82155  |  4.013% |
| 36   | Tornadus-Therian   |  5.45294% | 101606 |  3.941% | 85677  |  4.185% |
| 37   | Toxapex            |  5.44335% | 100177 |  3.885% | 81429  |  3.977% |
| 38   | Ogerpon            |  5.31883% | 73382  |  2.846% | 57793  |  2.823% |
| 39   | Garganacl          |  5.16795% | 177443 |  6.882% | 143385 |  7.004% |
| 40   | Hydrapple          |  4.71535% | 66721  |  2.588% | 52276  |  2.553% |
| 41   | Rillaboom          |  4.46791% | 201316 |  7.808% | 163213 |  7.972% |
| 42   | Heatran            |  4.32911% | 154734 |  6.002% | 129849 |  6.343% |
| 43   | Skarmory           |  4.12651% | 49150  |  1.906% | 42540  |  2.078% |
| 44   | Tyranitar          |  4.06285% | 157476 |  6.108% | 135597 |  6.623% |
| 45   | Iron Crown         |  3.61444% | 93163  |  3.613% | 75669  |  3.696% |
| 46   | Ursaluna           |  3.45157% | 76187  |  2.955% | 60840  |  2.972% |
| 47   | Excadrill          |  3.44720% | 98411  |  3.817% | 78345  |  3.827% |
| 48   | Meowscarada        |  3.42579% | 117565 |  4.560% | 95733  |  4.676% |
| 49   | Primarina          |  3.23233% | 142689 |  5.534% | 116893 |  5.710% |
| 50   | Ninetales          |  2.94238% | 80032  |  3.104% | 73520  |  3.591% |
| 51   | Latios             |  2.92565% | 51796  |  2.009% | 40163  |  1.962% |
| 52   | Garchomp           |  2.86269% | 137384 |  5.329% | 112134 |  5.477% |
| 53   | Weavile            |  2.22898% | 70010  |  2.715% | 56139  |  2.742% |
| 54   | Scizor             |  2.13779% | 127687 |  4.952% | 104014 |  5.081% |
| 55   | Volcanion          |  2.12224% | 52927  |  2.053% | 44236  |  2.161% |
| 56   | Pelipper           |  2.04487% | 111828 |  4.337% | 103896 |  5.075% |
| 57   | Keldeo             |  2.02461% | 33350  |  1.294% | 27437  |  1.340% |
| 58   | Cresselia          |  2.00306% | 37238  |  1.444% | 29321  |  1.432% |
| 59   | Sinistcha          |  1.99192% | 56767  |  2.202% | 44222  |  2.160% |
| 60   | Latias             |  1.97699% | 26850  |  1.041% | 20245  |  0.989% |
| 61   | Slither Wing       |  1.97645% | 34530  |  1.339% | 27712  |  1.354% |
| 62   | Tinkaton           |  1.94457% | 56479  |  2.191% | 48721  |  2.380% |
| 63   | Hoopa-Unbound      |  1.85215% | 66074  |  2.563% | 52213  |  2.550% |
| 64   | Jolteon            |  1.71618% | 19884  |  0.771% | 15651  |  0.764% |
| 65   | Lokix              |  1.57341% | 54796  |  2.125% | 45025  |  2.199% |
| 66   | Ogerpon-Cornerstone |  1.53564% | 53372  |  2.070% | 41888  |  2.046% |
| 67   | Manaphy            |  1.50088% | 24647  |  0.956% | 19216  |  0.939% |
| 68   | Ribombee           |  1.48623% | 69738  |  2.705% | 64813  |  3.166% |
| 69   | Venusaur           |  1.44574% | 57124  |  2.216% | 44707  |  2.184% |
| 70   | Mandibuzz          |  1.35089% | 25969  |  1.007% | 21035  |  1.027% |
| 71   | Slowking           |  1.33971% | 24432  |  0.948% | 20521  |  1.002% |
| 72   | Torkoal            |  1.33469% | 104320 |  4.046% | 95572  |  4.668% |
| 73   | Zarude             |  1.23687% | 12420  |  0.482% | 9908   |  0.484% |
| 74   | Barraskewda        |  1.16491% | 59569  |  2.310% | 48096  |  2.349% |
| 75   | Iron Hands         |  1.06413% | 50299  |  1.951% | 39589  |  1.934% |
| 76   | Iron Boulder       |  1.02491% | 21529  |  0.835% | 15253  |  0.745% |
| 77   | Amoonguss          |  0.99020% | 21174  |  0.821% | 16327  |  0.798% |
| 78   | Araquanid          |  0.97219% | 54558  |  2.116% | 50373  |  2.461% |
| 79   | Moltres-Galar      |  0.96853% | 35694  |  1.384% | 26572  |  1.298% |
| 80   | Grimmsnarl         |  0.95498% | 56596  |  2.195% | 49143  |  2.400% |
| 81   | Iron Jugulis       |  0.88288% | 15978  |  0.620% | 12112  |  0.592% |
| 82   | Ninetales-Alola    |  0.84667% | 64105  |  2.486% | 56534  |  2.761% |
| 83   | Rotom-Wash         |  0.80080% | 75404  |  2.925% | 64166  |  3.134% |
| 84   | Okidogi            |  0.76416% | 19625  |  0.761% | 16018  |  0.782% |
| 85   | Talonflame         |  0.74249% | 29897  |  1.160% | 23310  |  1.139% |
| 86   | Hawlucha           |  0.72837% | 34018  |  1.319% | 25220  |  1.232% |
| 87   | Tentacruel         |  0.71617% | 20930  |  0.812% | 16980  |  0.829% |
| 88   | Blaziken           |  0.70636% | 87762  |  3.404% | 65254  |  3.187% |
| 89   | Goodra-Hisui       |  0.66335% | 43971  |  1.705% | 35984  |  1.758% |
| 90   | Overqwil           |  0.61985% | 21328  |  0.827% | 17131  |  0.837% |
| 91   | Serperior          |  0.60436% | 88671  |  3.439% | 68431  |  3.343% |
| 92   | Pawmot             |  0.54204% | 13774  |  0.534% | 10025  |  0.490% |
| 93   | Kommo-o            |  0.53364% | 29352  |  1.138% | 21933  |  1.071% |
| 94   | Basculegion        |  0.51492% | 13532  |  0.525% | 10522  |  0.514% |
| 95   | Hydreigon          |  0.50437% | 38590  |  1.497% | 30637  |  1.496% |
| 96   | Golduck            |  0.48320% | 2318   |  0.090% | 1882   |  0.092% |
| 97   | Chesnaught         |  0.40917% | 14830  |  0.575% | 12126  |  0.592% |
| 98   | Greninja           |  0.38464% | 76491  |  2.967% | 60161  |  2.939% |
| 99   | Polteageist        |  0.37610% | 32557  |  1.263% | 24048  |  1.175% |
| 100  | Hippowdon          |  0.36859% | 12960  |  0.503% | 11416  |  0.558% |
| 101  | Quagsire           |  0.36070% | 12007  |  0.466% | 9132   |  0.446% |
| 102  | Ditto              |  0.35825% | 20667  |  0.802% | 14612  |  0.714% |
| 103  | Maushold           |  0.33584% | 33094  |  1.284% | 24797  |  1.211% |
| 104  | Metagross          |  0.32949% | 35337  |  1.371% | 28067  |  1.371% |
| 105  | Thundurus-Therian  |  0.32523% | 34296  |  1.330% | 27159  |  1.327% |
| 106  | Skeledirge         |  0.31071% | 59746  |  2.317% | 46274  |  2.260% |
| 107  | Jirachi            |  0.27542% | 19395  |  0.752% | 15525  |  0.758% |
| 108  | Reuniclus          |  0.25974% | 13168  |  0.511% | 9639   |  0.471% |
| 109  | Mimikyu            |  0.25455% | 40616  |  1.575% | 30541  |  1.492% |
| 110  | Salamence          |  0.25455% | 22320  |  0.866% | 16789  |  0.820% |
| 111  | Sandy Shocks       |  0.25429% | 21869  |  0.848% | 18419  |  0.900% |
| 112  | Enamorus-Therian   |  0.23482% | 5525   |  0.214% | 4295   |  0.210% |
| 113  | Arcanine-Hisui     |  0.22997% | 33644  |  1.305% | 25895  |  1.265% |
| 114  | Klefki             |  0.22509% | 13000  |  0.504% | 11093  |  0.542% |
| 115  | Mamoswine          |  0.22255% | 18705  |  0.725% | 15086  |  0.737% |
| 116  | Indeedee           |  0.19434% | 24491  |  0.950% | 20983  |  1.025% |
| 117  | Porygon2           |  0.19204% | 25162  |  0.976% | 20702  |  1.011% |
| 118  | Zoroark-Hisui      |  0.18707% | 37591  |  1.458% | 15636  |  0.764% |
| 119  | Florges            |  0.18236% | 4610   |  0.179% | 3433   |  0.168% |
| 120  | Quaquaval          |  0.17673% | 50360  |  1.953% | 39583  |  1.933% |
| 121  | Toxicroak          |  0.17372% | 14089  |  0.546% | 11004  |  0.538% |
| 122  | Farigiraf          |  0.16380% | 5888   |  0.228% | 4351   |  0.213% |
| 123  | Comfey             |  0.16243% | 16746  |  0.650% | 12373  |  0.604% |
| 124  | Magnezone          |  0.16241% | 20590  |  0.799% | 16310  |  0.797% |
